szerokość przekroju;wysokość przekroju;rozpiętość;stopień zbrojenia;średnica zbrojenia;Otulina;Moduł Younga stali;Moduł Younga betonu;Wytrzymałość betonu na rozciąganie;Obciążenie;Ugięcia
0.25;0.39;6;1.01;0.019;0.034;293;30;2.3;36;0.007269379
0.23;0.33;4.2;0.89;0.012;0.029;294;32;2.4;41.7;0.005880393
0.24;0.34;4.5;0.65;0.009;0.028;295;29;2.1;44.9;0.009202293
0.21;0.35;7.3;1.06;0.01;0.035;296;33;2;43.1;0.029894866
0.22;0.25;7.2;0.65;0.012;0.025;297;30;2.5;42.5;0.115555428
0.19;0.39;3.7;1.02;0.019;0.03;298;28;2.1;41.6;0.002446607
0.15;0.38;3.1;0.95;0.016;0.034;299;33;2.1;35.3;0.001794349
0.19;0.21;4.4;1.21;0.022;0.038;300;29;2.7;35.4;0.039452636
0.17;0.25;4.4;0.6;0.022;0.033;301;31;2.8;43.7;0.043737649
0.24;0.23;6.1;1.13;0.024;0.032;302;29;2.6;41.3;0.066180605
0.19;0.34;7.5;0.6;0.025;0.03;303;29;2.5;36.5;0.05338725
0.18;0.3;5.7;1.01;0.02;0.028;304;31;2.7;43.4;0.028164266
0.2;0.37;3.2;0.66;0.025;0.036;305;32;2.1;41.6;0.0027698
0.16;0.31;3.7;0.59;0.013;0.03;306;30;2.2;35.6;0.009227185
0.18;0.37;6.2;0.79;0.025;0.038;307;32;2.2;44.1;0.02431535
0.24;0.26;4.6;1.05;0.01;0.034;308;30;2.7;41.1;0.016048862
0.15;0.27;4;0.92;0.013;0.039;309;31;2.3;44.7;0.020728448
0.22;0.24;7.8;0.72;0.022;0.029;310;31;2.5;36.5;0.147085284
0.2;0.3;5.4;1.23;0.019;0.034;311;33;2.6;42.9;0.018606769
0.16;0.39;5.8;0.78;0.019;0.032;312;31;2.6;42;0.015927108
0.22;0.34;4.2;1.22;0.016;0.033;313;29;2.3;44.6;0.004716818
0.24;0.2;5.8;1.02;0.017;0.029;314;29;2.5;35.2;0.076308664
0.22;0.37;4.7;0.79;0.022;0.035;315;29;2.8;38.3;0.005562821
0.2;0.36;6.6;0.53;0.014;0.038;316;31;2.4;41.6;0.03474694
0.25;0.3;4.3;1.19;0.015;0.028;317;30;2.3;35.4;0.004678252
0.22;0.26;3.6;0.65;0.021;0.034;318;29;2.7;41.5;0.013103927
0.23;0.25;6;1;0.01;0.039;319;28;2.8;43.7;0.053627691
0.22;0.27;3.7;0.53;0.018;0.037;320;32;2.3;45;0.016432585
0.2;0.26;7.6;1.11;0.025;0.025;321;31;2.2;39;0.08174929
0.24;0.26;3.6;0.79;0.011;0.032;322;29;2.7;44.4;0.009594115
0.24;0.31;6.6;0.82;0.019;0.032;323;29;2.4;37.8;0.029460168
0.18;0.24;4.4;1.17;0.016;0.027;324;31;2.7;39.8;0.021013583
0.19;0.23;7.5;0.81;0.012;0.027;325;29;2.3;40;0.156670411
0.17;0.26;4.6;1.09;0.013;0.032;326;28;2.7;42.2;0.023148744
0.21;0.31;6.4;0.51;0.025;0.033;327;33;2.8;39.7;0.048238939
0.17;0.33;6.2;0.89;0.015;0.034;328;31;2.3;42.5;0.029659097
0.21;0.35;3.6;1.24;0.023;0.028;329;29;2.6;38.7;0.001430935
0.18;0.33;6.9;0.99;0.019;0.03;330;30;2.2;37.6;0.03079597
0.17;0.36;5.1;0.95;0.025;0.031;331;28;2.3;42.4;0.011517453
0.19;0.3;7.8;0.91;0.023;0.03;332;32;2.3;45;0.076662808
0.22;0.36;5.2;1.26;0.023;0.03;333;29;2.5;44;0.006754601
0.18;0.28;5.5;0.84;0.014;0.037;334;30;2.8;36.6;0.03123144
0.25;0.36;6.8;0.99;0.023;0.026;335;33;2.1;42.5;0.016250691
0.19;0.37;3.5;0.97;0.021;0.03;336;30;2.5;38.9;0.001824438
0.24;0.28;6;0.63;0.021;0.034;337;29;2.8;40.9;0.042621867
